tick,scfa,lps_microbiota,permeability,cellEpit,lps_lumen,tnfAlfa,alfasin,nadh,alfasinucleina,ros,electron,oxygen
262,40,0,326.34592796970384,100,300,302,16,500,246,11,44,689
263,40,0,326.34592796970384,100,300,305,18,500,247,12,44,688
264,40,0,326.34592796970384,100,300,303,19,500,249,13,43,687
265,40,0,326.34592796970384,100,300,303,20,500,251,13,43,687
266,40,0,326.34592796970384,100,300,303,21,500,252,13,46,687
267,40,0,326.34592796970384,100,300,302,24,500,252,14,48,686
268,40,0,326.34592796970384,100,300,302,23,500,256,15,50,685
269,40,0,326.34592796970384,100,300,302,21,500,261,15,50,685
270,40,0,326.34592796970384,100,300,301,20,500,263,15,50,685
271,40,0,326.34592796970384,100,300,300,21,500,265,15,52,685
272,40,0,326.34592796970384,100,300,301,21,500,268,15,55,685
273,40,0,326.34592796970384,100,300,301,21,500,271,15,55,685
274,40,0,326.34592796970384,100,300,300,18,500,275,15,56,685
275,40,0,326.34592796970384,100,300,302,18,500,278,16,59,684
276,40,0,326.34592796970384,100,300,302,19,500,280,16,60,684
277,40,0,326.34592796970384,100,300,301,17,500,285,17,61,683
278,40,0,326.34592796970384,100,300,301,15,500,290,17,59,683
279,40,0,326.34592796970384,100,300,300,15,500,292,17,60,683
280,40,0,326.34592796970384,100,300,301,17,500,293,17,63,683
281,40,0,326.34592796970384,100,300,301,16,500,296,17,64,683
282,40,0,326.34592796970384,100,300,302,18,500,297,17,65,683
283,40,0,326.34592796970384,100,300,302,19,500,299,19,65,681
284,40,0,326.34592796970384,100,300,301,22,500,299,19,66,681
285,40,0,326.34592796970384,100,300,300,21,500,303,19,66,681
286,40,0,326.34592796970384,100,300,300,19,500,308,19,68,681
287,40,0,326.34592796970384,100,300,300,19,500,311,19,70,681
288,40,0,326.34592796970384,100,300,302,20,500,312,19,70,681
289,40,0,326.34592796970384,100,300,300,23,500,312,20,71,680
290,40,0,326.34592796970384,100,300,302,26,500,312,20,73,680
291,40,0,326.34592796970384,100,300,300,27,500,313,20,75,680
292,40,0,326.34592796970384,100,300,300,28,500,314,20,76,680
293,40,0,326.34592796970384,100,300,299,27,500,318,21,75,679
294,40,0,326.34592796970384,100,300,302,24,500,323,21,76,679
295,40,0,326.34592796970384,100,300,301,23,500,327,21,77,679
296,40,0,326.34592796970384,100,300,300,22,500,331,21,78,679
297,39,0,326.34592796970384,100,300,301,23,500,333,22,78,678
298,39,0,326.34592796970384,100,300,302,22,500,337,22,79,678
299,39,0,326.34592796970384,100,300,301,21,500,341,22,84,678
300,39,0,326.34592796970384,100,300,300,23,500,342,23,86,677
301,39,0,326.34592796970384,100,300,299,21,500,347,25,87,675
302,39,0,326.34592796970384,100,300,301,19,500,352,25,88,675
303,39,0,326.34592796970384,100,300,301,18,500,356,26,88,674
304,39,0,326.34592796970384,100,300,300,21,500,356,28,91,672
305,39,0,326.34592796970384,100,300,300,22,500,358,28,92,672
306,39,0,326.34592796970384,100,300,301,21,500,361,30,95,670
307,39,0,326.34592796970384,100,300,301,23,500,362,31,96,669
308,39,0,326.34592796970384,100,300,301,23,500,365,33,96,667
309,39,0,326.34592796970384,100,300,302,24,500,367,33,96,667
310,39,0,326.34592796970384,100,300,302,24,500,370,34,96,666
311,39,0,326.34592796970384,100,300,302,22,500,375,34,97,666
312,39,0,326.34592796970384,100,300,301,20,500,380,34,99,666
313,39,0,326.34592796970384,100,300,301,20,500,383,34,100,666
314,39,0,326.34592796970384,100,300,302,22,500,384,35,100,665
315,39,0,326.34592796970384,100,300,302,19,500,389,35,101,665
316,39,0,326.34592796970384,100,300,301,20,500,391,35,102,665
317,39,0,326.34592796970384,100,300,301,22,500,391,35,101,665
318,39,0,326.34592796970384,100,300,302,23,500,393,37,103,663
